state,total,appropriated,reimbursable,rank,water_total,water_appropriated,water_reimbursable,ecosystems_total,ecosystems_appropriated,ecosystems_reimbursable,em_total,em_appropriated,em_reimbursable,hazards_total,hazards_appropriated,hazards_reimbursable,clu_total,clu_appropriated,clu_reimbursable,css_total,css_appropriated,css_reimbursable,eh_total,eh_appropriated,eh_reimbursable,aei_total,aei_appropriated,aei_reimbursable,misc
Alabama,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,9891328,3919012,5972316,4,8133792,2898657,5235135,922415,922415,0,832121,94940,737181,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,0,0
Florida,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,8876836,3369980,5506856,5,8103242,2596386,5506856,670826,670826,0,0,0,0,0,0,0,0,0,0,57768,57768,0,0,0,0,45000,45000,0,0
Indiana,12323117,4095750,8227367,2,12171117,3943750,8227367,145000,145000,0,0,0,0,0,0,0,0,0,0,7000,7000,0,0,0,0,0,0,0,0
Iowa,5042124,2265842,2582282,11,4515296,1945738,2569558,12724,0,12724,275500,275500,0,0,0,0,28736,28736,0,868,868,0,0,0,0,15000,15000,0,194000
Kansas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,12323117,4095750,8227367,2,12171117,3943750,8227367,145000,145000,0,0,0,0,0,0,0,0,0,0,7000,7000,0,0,0,0,0,0,0,0
Louisiana,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,9891328,3919012,5972316,4,8133792,2898657,5235135,922415,922415,0,832121,94940,737181,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,0,0
Massachusetts,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,6142746,1880020,4262726,9,5928746,1666020,4262726,13000,13000,0,186000,186000,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,15000,0,0
Minnesota,7529760,2579783,4949977,8,7347960,2397983,4949977,0,0,0,181800,181800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,7891686,1689360,6202326,7,7891686,1689360,6202326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,5052504,2762104,2290400,10,4835661,2551104,2284557,0,0,0,0,0,0,0,0,0,0,0,0,161500,161500,0,0,0,0,55343,49500,5843,0
Nevada,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,3875657,1497899,2377758,13,3829657,1451899,2377758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46000,46000,0,0
Ohio,8280061,1968855,6311206,6,8254715,1943509,6311206,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10346,10346,0,0
Oklahoma,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,11516912,2798162,8718750,3,11341912,2623162,8718750,170000,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0
Rhode Island,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,4377237,1998930,2378307,12,4071891,1759084,2312807,0,0,0,65500,0,65500,0,0,0,62624,62624,0,60300,60300,0,0,0,0,116922,116922,0,0
Tennessee,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,12682125,4339246,8342879,1,12059397,3716518,8342879,20000,20000,0,362728,362728,0,0,0,0,176000,176000,0,44000,44000,0,0,0,0,20000,20000,0,0
Wyoming,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
